店鋪ID	メニュー	分類	スープ	点数	コメント
30567	豚骨貝介のワイルドWスープ	ラーメン	豚骨魚介	81	みたかこの旨さ。麺とつけ麺。単語分解。なんということでしょう。
2230	がんメン 50円 + 替玉（無料券利用）	ラーメン	豚骨	41	安心の<br />替玉。つけ麺。イケメン。僕ラーメン。
392	いのしし麺	ラーメン	醤油	0	う！
1	いけ麺	つけ麺	醤油	0	つi-to。ラーメン。たまには麺麺め麺。三鷹を見たか。みたかをみたか。みかたがみたか。
91	そば	ラーメン	醤油	61	ですです。<br />よ。ラーメン大好き小泉さん。
30568	豚骨貝介のワイルドWスープ	ラーメン	豚骨魚介	81	みたかこの旨さ。麺とつけ麺。単語分解。なんということでしょう。
2235	がんメン 50円 + 替玉（無料券利用）	ラーメン	豚骨	41	安心の<br />替玉。つけ麺。イケメン。僕ラーメン。
393	いのしし麺	ラーメン	醤油	0	う！
2	いけ麺	つけ麺	醤油	0	つi-to。ラーメン。たまには麺麺め麺。三鷹を見たか。みたかをみたか。みかたがみたか。
93	そば	ラーメン	醤油	61	ですです。<br />よ。ラーメン大好き小泉さん。
30561	豚骨貝介のワイルドWスープ	ラーメン	豚骨魚介	81	みたかこの旨さ。麺とつけ麺。単語分解。なんということでしょう。
2231	がんメン 50円 + 替玉（無料券利用）	ラーメン	豚骨	41	安心の<br />替玉。つけ麺。イケメン。僕ラーメン。
391	いのしし麺	ラーメン	醤油	0	う！
5	いけ麺	つけ麺	醤油	0	つi-to。ラーメン。たまには麺麺め麺。三鷹を見たか。みたかをみたか。みかたがみたか。
99	そば	ラーメン	醤油	61	ですです。<br />よ。ラーメン大好き小泉さん。

