,predict,real
1,8,8
2,1,1
3,7,7
4,7,7
5,8,8
6,1,1
7,6,6
8,6,6
9,6,4
10,2,2
11,8,8
12,7,7
13,8,2
14,8,8
15,4,4
16,4,4
17,9,9
18,6,6
19,6,6
20,6,1
21,5,5
22,8,8
23,5,5
24,6,6
25,3,8
26,7,7
27,7,2
28,9,9
29,8,8
30,4,4
31,1,1
32,8,8
33,5,5
34,6,6
35,4,4
36,8,8
37,5,5
38,2,2
39,3,3
40,7,7
41,3,3
42,1,1
43,1,1
44,1,1
45,2,2
46,9,5
47,8,4
48,8,8
49,9,9
50,8,8
51,3,3
52,2,2
53,6,6
54,1,1
55,7,7
56,4,4
57,9,9
58,1,1
59,7,7
60,5,6
61,1,1
62,3,7
63,3,3
64,8,8
65,2,2
66,5,5
67,2,2
68,2,2
69,9,9
70,6,1
71,8,4
72,8,8
73,6,6
74,3,3
75,4,6
76,4,4
77,6,6
78,2,2
79,9,8
80,9,8
81,2,2
82,1,1
83,2,2
84,2,2
85,5,5
86,1,1
87,8,8
88,9,9
89,8,8
90,2,2
91,9,9
92,5,5
93,1,1
94,9,9
95,3,3
96,5,5
97,7,7
98,3,3
99,9,9
100,2,2
101,6,6
102,7,7
103,7,7
104,9,9
105,6,5
106,7,7
107,4,4
108,2,2
109,9,9
110,9,9
111,1,1
112,9,9
113,2,2
114,7,7
115,9,9
116,3,3
117,3,3
118,4,4
119,6,6
120,2,2
121,3,3
122,9,9
123,4,4
124,9,9
125,1,1
126,9,9
127,5,6
128,1,6
129,5,5
130,6,3
131,8,8
132,6,6
133,8,8
134,8,8
135,9,9
136,5,5
137,7,7
138,8,9
139,2,2
140,6,6
141,3,3
142,6,6
143,6,6
144,8,8
145,9,9
146,8,8
147,3,1
148,1,1
149,3,3
150,5,5
151,9,9
152,7,7
153,7,7
154,7,7
155,1,1
156,7,7
157,5,5
158,5,5
159,3,3
160,7,7
161,4,1
162,5,5
163,1,1
164,6,6
165,6,1
166,2,2
167,3,3
168,2,2
169,2,2
170,7,7
171,9,9
172,8,8
173,9,9
174,4,4
175,8,8
176,5,9
177,8,8
178,6,6
179,2,2
180,5,5
181,4,4
182,2,2
183,6,6
184,2,2
185,5,5
186,3,3
187,3,3
188,6,6
189,2,4
190,9,8
